gene_id	1-TCGA-59-A5PD-01A-11R-A406-31	2-TCGA-OY-A56Q-01A-11R-A406-31	2-TCGA-61-2012-01A-01R-1568-13	2-TCGA-24-1556-01A-01R-1566-13	2-TCGA-3P-A9WA-01A-11R-A406-31	2-TCGA-04-1362-01A-01R-1565-13	2-TCGA-09-2044-01B-01R-1568-13	3-TCGA-24-1567-01A-01R-1566-13	3-TCGA-09-1670-01A-01R-1566-13	3-TCGA-23-1027-01A-02R-1564-13	3-TCGA-29-1785-01A-01R-1567-13	3-TCGA-13-1481-01A-01R-1565-13	3-TCGA-13-0916-01A-01R-1564-13	4-TCGA-13-1511-01A-01R-1565-13	4-TCGA-13-1405-01A-01R-1565-13	4-TCGA-24-1417-01A-01R-1565-13	4-TCGA-59-2350-01A-01R-1569-13	4-TCGA-25-2397-01A-01R-1569-13	4-TCGA-23-2084-01A-02R-1568-13
BEND5	4.49219	6.23832	4.9334	6.25575	0	4.78597	6.27099	5.37528	4.82513	5.83481	3.90592	6.05444	5.99146	5.66296	5.47646	5.3033	5.66988	1.31489	3.85069
BEND6	3.634	2.9828	4.07498	5.72031	3.33226	3.31277	3.81593	3.06341	3.09364	5.0689	3.55062	4.94223	5.94542	5.34711	6.03309	4.4048	1.77051	4.9334	4.75444
BEND7	7.10332	8.68491	7.53262	8.04431	8.67778	6.83733	7.41035	7.15227	8.2797	7.35564	8.0229	6.70073	7.82604	6.86693	6.13123	7.66435	7.68983	5.96358	7.99632
BEST1	4.73787	3.76552	5.35663	6.18419	4.5319	5.96876	4.46331	4.46331	4.91264	4.72669	3.55362	5.16484	6.3262	3.87656	4.52559	5.35659	4.6617	3.44309	4.6556
BEST2	0	1.55456	0.145926	3.06884	1.03733	1.12544	0	1.78852	1.55456	1.03733	0	1.80865	3.5757	0	0.553421	1.85773	0.921691	1.28484	0
BEST3	0.25537	0	1.34966	2.88859	2.60098	1.54004	0.611242	4.41582	2.18727	2.02107	0.690404	2.15672	3.01919	1.82016	0	2.31254	4.67093	0.86117	1.5297
BEST4	4.35773	5.94017	3.80169	5.61313	6.92952	4.38252	3.82849	3.79466	5.25227	5.27811	4.14165	4.89472	6.91374	5.64191	4.58619	3.1381	3.83332	5.0814	4.64593
BET1L	8.06275	8.13973	8.13271	8.36707	8.56636	8.43207	7.73892	7.81964	8.56178	8.81833	8.31263	8.47908	8.88461	9.11273	9.01481	8.2695	8.05801	8.08579	9.25302
BET1	7.83913	7.47873	7.31588	7.41878	7.35819	7.50769	7.78821	6.72623	7.31655	7.92696	6.76041	7.48661	8.42924	7.22184	7.53903	6.62539	7.13648	7.64683	8.10621
BET3L	0	0.401296	0.716899	3.30598	0.145926	0.924259	0	1.03733	2.97189	0.474259	1.2317	0.77009	4.04802	0	0	0.827153	5.17615	0.690404	0.769566
BEX1	0.921691	3.8256	3.67646	4.73007	0.182407	3.95779	8.2695	8.36684	3.43977	3.43765	0.556487	4.60671	7.54645	0.611242	4.74713	5.71043	7.62511	5.43372	3.55903
BEX2	6.31897	6.63068	6.43615	7.90064	2.37566	7.10661	8.29655	7.47704	6.89366	8.00903	5.743	6.65929	8.69634	6.29895	7.43308	7.4524	7.95332	7.08255	7.10988
